w1	w2	label	prediction
phone	neck	phoneck	peck
bozo	ozone	bozone	bone
ambitious	bitch	ambitchous	ach
female	android	feminoid	feid
medical	healthcare	medicare	mare
facebook	facelift	facebooklift	fift
drunk	munchies	drunchies	des
green	whitewash	greenwash	gash
fucking	drunk	fucrunk	funk
mobile	weblog	moblog	mog
negro	negotiation	negrotiation	non
tweet	sweetheart	tweetheart	tart
course	software	courseware	core
magnesium	ferric	mafic	mac
disturb	suburbia	disturbia	dia
proactive	responsive	pronsponsive	prive
roger	economics	rogernomics	ros
vital	amine	vitamin	ve
skin	intimidate	skintimidate	se
sarcasm	chasm	sarchasm	sam
cybernetic	organism	cyborg	cym
whine	rhino	whino	who
volumetric	pixel	voxel	vel
newt	momentum	newtmentum	num
cash	castration	cashtration	con
woman	romance	womance	we
ebony	phonics	ebonics	es
bard	idolatry	bardolatry	barry
calcium	gone	calgon	cone
shark	octopus	sharktopus	sus
procastination	productivity	procastivity	proy
singapore	english	singlish	sish
prom	proposal	promposal	pal
cat	mouse	meowse	case
deformed	afflicted	deflicted	deed
maddening	infuriating	maddenating	mag
java	python	jython	jan
pass	asshole	passhole	pase
transmitter	receiver	transceiver	traver
insinuation	innuendo	insinuendo	io
plastic	yarn	plarn	plan
subliminal	tweet	subtweet	set
stupid	studious	stupious	sus
chin	underwear	chinderwear	chr
accountable	cunt	accuntable	ant
brahmin	angus	brangus	bus
sofa	ass	sofass	sos
condensation	trail	contrail	col
robert	kristen	robsten	ren
family	computer	famicom	far
naruto	retard	narutard	nad
texas	exodus	texodus	tes
advertisement	blasting	advertblasting	ag
frankenstein	word	frankenword	ford
spokesperson	blogger	spokesblogger	ser
declarative	exclamatory	declamatory	dry
slut	president	slutsident	sent
volunteer	town	voluntown	von
tan	anorexia	tanorexia	ta
sex	accident	sexcident	set
spoon	knife	spife	sife
ninja	injun	ninjun	nin
offensive	sieve	offensieve	ove
satisfactory	suffice	satisfice	se
fraternity	satire	fratire	fire
retard	dumbass	tardass	ress
oblivious	android	oblividroid	od
list	article	listicle	lise
analyst	therapist	analrapist	ant
cheap	cappucciono	cheappuccino	co
smudge	estimate	smudgemate	se
spam	robot	spambot	sot
helicopter	skiing	heliskiing	heg
global	local	glocal	gal
governor	terminator	governator	gover
stalker	paperazzi	stalkerazzi	si
twin	incest	twincest	test
phone	frustrated	phonestrated	prated
famicom	clone	famiclone	fane
jagermeister	bomb	jagerbomb	jab
google	amazon	googlezon	gon
blog	book	blook	book
lion	tiger	liger	liger
cramer	america	cramerica	ca
bark	parkour	barkour	barr
terra	terrorist	terrist	test
fruit	atomic	fruitomic	fic
zebra	donkey	zedonk	zy
homosexual	comintern	homintern	hon
automotive	atrocity	autotrocity	ay
internet	citizen	netizen	in
bridge	router	brouter	brier
chopstick	fork	chork	cork
imagination	engineering	imagineering	ig
zebra	donkey	zeedonk	zy
wonka	elevator	wonkavator	wor
night	netflix	niteflix	nix
excuse	squeeze	exsqueeze	exe
yank	handshake	yankshake	yake
cinema	paradigm	cinedigm	cim
wireless	fidelity	wifi	wy
chest	testicle	chesticle	chee
afghanistan	pakistan	afpak	an
fabulous	sexual	fabulosexual	fal
tactical	turtleneck	tactleneck	tack
but	actually	bactually	by
net	etiquette	netiquette	nete
imagine	engineering	imagineering	ig
alternative	right	altright	alt
cable	telegram	cablegram	cam
kiss	caress	kissess	kress
murky	marketing	murketing	ming
fun	animation	funimation	fon
script	document	scriptment	sent
financial	pinnacle	finacle	fine
facebook	hack	facehack	fack
boxing	exercise	boxercise	bose
phonetics	lexicon	phonicon	pon
labrador	poodle	labradoodle	le
fruit	fusion	frusion	fon
chicago	milwaukee	chiwaukee	chee
jesus	centric	jesucentric	jec
disgust	discussion	disgussion	don
religion	ridiculous	religulous	rus
pirate	attitude	pirattitude	pire
bash	hashtag	bashtag	bag
click	link	clink	clink
light	radar	lidar	lar
gay	marriage	garriage	ge
chilling	relaxing	chillaxing	chilling
liberal	retard	libtard	lid
gay	addiction	gaddiction	gon
kate	ziva	kiva	kata
jeans	shorts	jorts	jeans
hunger	angry	hangry	hy
cuckold	conservative	cuckservative	cue
miller	lux	millux	mix
provocative	whore	provacawhoritive	prove
hater	gatorade	hatorade	he
fanatic	kingdom	fandom	fam
television	broadcast	telecast	test
literature	sewer	literasewer	lewer
monte	rey	monterey	money
plastic	leather	pleather	per
glamorous	camping	glamping	ging
advertisement	entertainment	advertainment	ant
sonus	sonny	sony	sy
bro	mustache	brostache	be
fruit	utopia	fruitopia	fra
dormitory	incest	dormcest	dost
scarborough	siberia	scarberia	sia
botulism	toxin	botox	bon
slut	sorority	slurority	sy
smile	silence	smilence	se
feminist	nazi	feminazi	fi
tree	heap	treap	tap
hellish	hallway	hellway	helly
beat	beetles	beatles	beas
beef	buffalo	beefalo	bo
defensive	diss	dissfensive	des
pocket	monster	pokemon	per
ska	hardcore	skacore	se
stay	vacation	staycation	stan
alphabetic	numeric	alphanumeric	ac
blog	celebrity	blogebitry	by
private	proxy	privoxy	py
vermont	monster	vermontster	ver
tangerine	pomelo	tangelo	to
obama	mania	obamania	oa
documentary	soap	docusoap	dop
fantastic	orgasmic	fantasmic	fic
aforementioned	texted	aforetexted	ad
pray	playstation	praystation	pon
hibernate	dating	hiberdating	hig
capsule	tablet	caplet	cat
picture	dictionary	pictionary	py
cream	popsicle	creamsicle	ce
veep	sweepstakes	veepstakes	ves
rubin	economics	rubinomics	rus
blog	pilates	blogilates	bes
nigger	piglet	nigglet	net
cosmos	organism	cosmonism	com
methyl	alcohol	methanol	mel
dangerous	hazardous	dazardous	dus
lebron	wannabe	lebronnabe	le
quantum	bit	qubit	quant
chronology	optimist	chronoptimist	christ
proteinaceous	infectious	prion	pros
mock	documentary	mockumentary	my
television	evangelist	televangelist	test
banjo	guitar	banjitar	bar
phone	conundrum	phonundrum	pum
navajo	hunky	navahonky	ny
system	administrator	sysadmin	stor
static	satellite	statite	state
fairfield	osborn	fairborn	fain
maybe	perhaps	mayhaps	mas
kodambakkam	hollywood	kollywood	kod
formal	casual	formasual	fol
snide	remark	snark	sark
nasa	astronaut	nastronaut	nut
pegasus	unicorn	pegacorn	pen
biological	pioneer	bioneer	bir
winning	company	winco	winny
prevent	acid	prevacid	pred
smoke	maze	smaze	se
nifty	fabulous	niftabulous	nis
seattle	tacoma	seatac	sea
monster	asteroid	monsteroid	mid
communication	broadcast	comcast	cot
elevator	vision	elevision	elen
guy	eyeliner	guyliner	ger
banquet	dance	banquance	be
gay	radar	gaydar	gar
midnight	martini	midnitini	mini
uber	fantastic	ubertastic	uic
glial	lymphatic	glymphatic	gatic
arise	ascent	aricent	art
kid	video	kidvid	ko
parent	paranoia	parentnoia	para
type	hyperventilate	typerventilate	type
metro	homosexual	metrosexual	mel
midget	ninja	minja	ma
pellet	resistor	pellistor	per
commute	comminicate	commuticate	come
cybernetics	psychedelic	cyberdelic	cic
bare	kareoke	bareoke	bare
man	panther	manther	mar
conservative	democrats	condem	cos
hiccup	burp	hiccurp	hip
green	blue	grue	gree
ad	infested	adfested	ad
after	morning	aftorning	ag
moon	landscape	moonscape	me
awkward	sauce	awksauce	ace
biography	picture	biopic	be
nose	ostracize	nostracize	nose
every	time	errtime	eve
penn	engineer	penngineer	per
net	convertible	netvertible	nete
fake	rolex	folex	fax
noun	adjective	nounjective	nove
jihad	hobbyist	jihobbyist	jist
ramen	woman	rawoman	roman
human	manure	humanure	he
machine	cinema	machinima	ma
melodic	odyssey	melodyssey	my
pug	beagle	puggle	pue
swedish	english	swenglish	sish
brother	science	broscience	be
celebrity	debutante	celebutante	cele
knife	fork	knork	kork
alpha	beta	alphabet	alta
hormone	emotion	hormotion	hon
europe	arabia	eurabia	ea
former	girl	forgirl	fol
electronic	mail	email	ell
pregnancy	amnesia	pregnesia	pa
masturbate	wait	masturwait	mat
spam	blogger	splogger	spar
spirit	commitment	spirmitment	sent
press	prostitute	presstitute	pre
near	orgasm	neargasm	neam
anime	matrix	animatrix	aix
crook	brooklyn	crooklyn	cyn
permanent	agriculture	permaculture	pure
chuckle	snort	chortle	chut
china	india	chindia	cha
gallop	triumph	galumph	gah
refute	repudiate	refudiate	rate
scan	translation	scanlation	son
ecology	sabotage	ecotage	ege
best	worst	blurst	bet
internal	communication	intercom	in
folks	taxonomy	folksonomy	foy
beat	sputnik	beatnik	bek
brand	wagon	brandwagon	bon
hetero	jetlagged	hetlagged	heed
ridiculous	monstrosity	ridiculosity	ridy
man	vagina	mangina	mina
tampa	miami	tamiami	tai
korean	pop	kpop	kop
data	surveillance	dataveillance	de
food	baby	faby	foy
camera	recorder	camcorder	car
exercise	cycle	exercycle	ele
snow	armageddon	snowmageddon	son
aurium	lactate	aurictate	aute
dilemma	machine	dilemmachine	de
app	obsessed	appsessed	ad
conglomerate	coffee	conglomocoffee	cone
chair	aerobics	chairobics	chas
accountability	buddy	accountabilibuddy	ay
fabulous	eyelash	fabulash	fash
zebra	donkey	zonkey	zy
awesome	amazing	awesmazing	ag
doppelgangers	bang	doppelbangers	dog
nicotine	cigarette	nicorette	nice
kill	bulldozer	killdozer	killer
kid	adult	kidult	kit
gypsy	cheapish	gypish	gish
bill	hillary	billary	bry
closed	open	clopen	cen
bank	gangster	bankster	banker
intelligent	television	intellivision	in
fudge	popsicle	fudgsicle	fule
games	brainstorming	gamestorming	ging
guitar	arthritis	guitarthritis	gus
global	obesity	globesity	gly
delaware	rancocas	delran	des
backwards	ass	bassackwards	bas
lunch	supper	lupper	ler
fake	insta	finsta	fa
prim	sissy	prissy	psy
japan	animation	japanimation	jan
mosaic	godzilla	mozilla	mosa
romo	momentum	romomentum	rom
explore	pornography	explornography	ey
adorable	precious	adorapresh	aus
flexibility	security	flexicurity	fly
micro	college	microllege	me
balloon	fanatics	balloonatics	bas
motor	cavalcade	motorcade	mode
quasistellar	star	quasar	quar
mexican	nigger	mexinigger	mer
cocacola	colonization	cocacolonization	con
destiny	amnesia	destinesia	dia
disposal	phobia	disposophobia	dia
precarious	proletariat	precariat	pat
electronic	magazine	ezine	eine
lebron	bum	lebum	lem
islamic	fascist	islamofascist	it
fan	magazine	fanzine	fine
squirm	wiggle	squiggle	se
magnetic	doodle	magnadoodle	mage
clap	apathy	clapathy	clay
yoga	pilates	yogalates	yos
facebook	brag	facebrag	frag
swoosh	swastika	swooshtika	sa
incognito	negro	incognegro	io
